2026-01-20 21:43:50 - INFO - [CHK_1B] ======================================================================
2026-01-20 21:43:50 - INFO - [CHK_1B] CHK_1B - Date Validity
2026-01-20 21:43:50 - INFO - [CHK_1B] ======================================================================
2026-01-20 21:43:51 - INFO - [CHK_1B] Starting date validity check for month: 2025-12
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 421: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 422: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 423: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 424: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 425: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 426: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 427: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 428: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 429: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 430: Date mismatch for fund 1162361 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 452: Date mismatch for fund 1168723 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 453: Date mismatch for fund 1168723 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 454: Date mismatch for fund 1168723 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 455: Date mismatch for fund 1168723 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 456: Date mismatch for fund 1168723 - expected 2025-12, got 2025-11-30
